Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.36874,-0.0047437,0.26806,0,0,0,6.694,0.11521,0.0013455,0.0041749,0.14404,0.0027363,0.14178,0,0,0,0,0,0,package://B4WTYPE3/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B4WTYPE3/meshes/base_link.STL,,Rollcageandhub-1,Coordinate SystemCOM,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FRR,0.002094,0.025627,-0.0058788,0,0,0,5.8353,0.16436,5.1439E-06,-8.652E-05,0.28026,0.00010784,0.16392,0,0,0,0,0,0,package://B4WTYPE3/meshes/FRR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B4WTYPE3/meshes/FRR.STL,,front_wheel_huB-2,Coordinate SystemFRR,Axis4,JTFRR,revolute,0.94782,-0.62743,-0.066342,0,-0.15703,0,base_link,0,1,0,10,10,0,0,,,,,,,,
FRL,0.0051142,-0.025627,-0.0035762,0,0,0,5.8353,0.16391,0.00010536,3.7108E-05,0.28026,-2.3603E-05,0.16437,0,0,0,0,0,0,package://B4WTYPE3/meshes/FRL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B4WTYPE3/meshes/FRL.STL,,front_wheel_huB-1,Coordinate SystemFRL,Axis1,JTFRL,revolute,0.94525,0.63885,-0.035217,0.060377,-0.15703,0,base_link,-3.4855E-05,-1,0,10,10,0,0,,,,,,,,
BKL,4.9355E-05,-0.043014,-0.003259,0,0,0,7.1252,0.18572,1.2265E-08,-6.0923E-08,0.319,0.0098429,0.18645,0,0,0,0,0,0,package://B4WTYPE3/meshes/BKL.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B4WTYPE3/meshes/BKL.STL,,rear_HUB-2,Coordinate SystemBKL,Axis2,JTBKL,revolute,-0.4541,0.5747,-0.037943,0,0,0.0040438,base_link,4.2546E-05,0.99728,0.073655,10,10,0,0,,,0.1,0.1,,,,
BKR,-9.3176E-05,0.043018,0.0031994,0,0,0,7.1252,0.18572,7.2787E-09,-5.8422E-08,0.319,0.0098429,0.18645,0,0,0,0,0,0,package://B4WTYPE3/meshes/BKR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://B4WTYPE3/meshes/BKR.STL,,rear_HUB-1,Coordinate SystemBKR,Axis3,JTBKR,revolute,-0.44539,-0.58457,-0.075276,0,0,0.0040438,base_link,-4.2546E-05,-0.99728,-0.073655,10,10,0,0,,,0.1,0.1,,,,
